asp	text/asp
avi	video/avi
avs	video/avs-video
bin	application/mac-binary
bmp	image/bmp
c	text/x-c
c++	text/plain
class	application/java
css	text/css
gif	image/gif
gzip	multipart/x-gzip
h	text/x-h
htm	text/html
html	text/html
ico	image/x-icon
java	text/x-java-source
jpeg	image/jpeg
jpg	image/jpeg
js	text/javascript
latex	application/x-latex
mid	audio/midi
mp3	audio/mpeg3
pdf	application/pdf
png	image/png
ppt	application/powerpoint
py	text/x-script.phyton
tgz	application/gnutar
txt	text/plain
zip	application/x-compressed
